sku,name,current_stock
SKU-001,Tile X21,80
SKU-002,Product 2,300
SKU-003,Product 3,300
SKU-004,Product 4,300
SKU-005,Product 5,300
SKU-006,Product 6,300
SKU-007,Product 7,300
SKU-008,Product 8,300
SKU-009,Product 9,300
SKU-010,Product 10,300
SKU-011,Product 11,300
SKU-012,Product 12,300
SKU-013,Product 13,300
SKU-014,Product 14,300
SKU-015,Product 15,300
SKU-016,Product 16,300
SKU-017,Product 17,300
SKU-018,Product 18,300
SKU-019,Product 19,300
SKU-020,Product 20,300
SKU-021,Product 21,300
SKU-022,Product 22,300
SKU-023,Product 23,300
SKU-024,Product 24,300
SKU-025,Product 25,300
SKU-026,Product 26,300
SKU-027,Product 27,300
SKU-028,Product 28,300
SKU-029,Product 29,300
SKU-030,Product 30,300
SKU-031,Product 31,300
SKU-032,Product 32,300
SKU-033,Product 33,300
SKU-034,Product 34,300
SKU-035,Product 35,300
SKU-036,Product 36,300
SKU-037,Product 37,300
SKU-038,Product 38,300
SKU-039,Product 39,300
SKU-040,Product 40,300
SKU-041,Product 41,300
SKU-042,Product 42,300
SKU-043,Product 43,300
SKU-044,Product 44,300
SKU-045,Product 45,300
SKU-046,Product 46,300
SKU-047,Product 47,300
SKU-048,Product 48,300
SKU-049,Product 49,300
SKU-050,Product 50,300
SKU-051,Product 51,300
SKU-052,Product 52,300
SKU-053,Product 53,300
SKU-054,Product 54,300
SKU-055,Product 55,300
SKU-056,Product 56,300
SKU-057,Product 57,300
SKU-058,Product 58,300
SKU-059,Product 59,300
SKU-060,Product 60,300
SKU-061,Product 61,300
SKU-062,Product 62,300
SKU-063,Product 63,300
SKU-064,Product 64,300
SKU-065,Product 65,300
SKU-066,Product 66,300
SKU-067,Product 67,300
SKU-068,Product 68,300
SKU-069,Product 69,300
SKU-070,Product 70,300
SKU-071,Product 71,300
SKU-072,Product 72,300
SKU-073,Product 73,300
SKU-074,Product 74,300
SKU-075,Product 75,300
SKU-076,Product 76,300
SKU-077,Product 77,300
SKU-078,Product 78,300
SKU-079,Product 79,300
SKU-080,Product 80,300
SKU-081,Product 81,300
SKU-082,Product 82,300
SKU-083,Product 83,300
SKU-084,Product 84,300
SKU-085,Product 85,300
SKU-086,Product 86,300
SKU-087,Product 87,300
SKU-088,Product 88,300
SKU-089,Product 89,300
SKU-090,Product 90,300
SKU-091,Product 91,300
SKU-092,Product 92,300
SKU-093,Product 93,300
SKU-094,Product 94,300
SKU-095,Product 95,300
SKU-096,Product 96,300
SKU-097,Product 97,300
SKU-098,Product 98,300
SKU-099,Product 99,300
SKU-100,Product 100,300
