name,email
ABC Ceramics,supplier1@example.invalid
XYZ Metals,supplier2@example.invalid
Supplier 3,supplier3@example.invalid
Supplier 4,supplier4@example.invalid
Supplier 5,supplier5@example.invalid
Supplier 6,supplier6@example.invalid
Supplier 7,supplier7@example.invalid
Supplier 8,supplier8@example.invalid
Supplier 9,supplier9@example.invalid
Supplier 10,supplier10@example.invalid
Supplier 11,supplier11@example.invalid
Supplier 12,supplier12@example.invalid
Supplier 13,supplier13@example.invalid
Supplier 14,supplier14@example.invalid
Supplier 15,supplier15@example.invalid
Supplier 16,supplier16@example.invalid
Supplier 17,supplier17@example.invalid
Supplier 18,supplier18@example.invalid
Supplier 19,supplier19@example.invalid
Supplier 20,supplier20@example.invalid
Supplier 21,supplier21@example.invalid
Supplier 22,supplier22@example.invalid
Supplier 23,supplier23@example.invalid
Supplier 24,supplier24@example.invalid
Supplier 25,supplier25@example.invalid
Supplier 26,supplier26@example.invalid
Supplier 27,supplier27@example.invalid
Supplier 28,supplier28@example.invalid
Supplier 29,supplier29@example.invalid
Supplier 30,supplier30@example.invalid
